source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
cryptography,pretend,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
cryptography,types-requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
cryptography,types-pytz,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
argon2-cffi,argon2-cffi-bindings,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
argon2-cffi,dataclasses,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
argon2-cffi,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
requests-oauthlib,oauthlib,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
requests-oauthlib,requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
requests-oauthlib,oauthlib[signedtoken],#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
pyjwt,pre-commit,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
pyjwt,cryptography,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
argon2-cffi-bindings,cffi,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
pytest-cov,coverage[toml],#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-cov,pytest-xdist,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-cov,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
