source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
texext,matplotlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx-version-warning,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,keras,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,tensorflow,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,dill,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,pytz,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,tinydb,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,tqdm,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,numpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,sklearn-crfsuite,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,nltk,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,artagger,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,epitran,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,fastai,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,gensim,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,deepcut,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,pyicu,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,marisa-trie,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,torch,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,emoji,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
nvidia-cusparse-cu12,nvidia-nvjitlink-cu12,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinxcontrib-svg2pdfconverter,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinxcontrib-svg2pdfconverter,cairosvg,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
hunter,manhole,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,pep440,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,readme-renderer[md],#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,pyroma,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,zope.testing,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,wheel,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,build,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,twine,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,check-manifest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
zest.releaser,zope.testrunner,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
websocket-client,python-socks,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
websocket-client,wsaccel,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
websocket-client,websockets,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
websocket-client,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
websocket-client,sphinx-rtd-theme,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,jinja2,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,numpy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,pydeck-carto,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,ipywidgets,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,traitlets,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,ipython,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pydeck,ipykernel,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,diff-cover,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,pytest-mock,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,pytest-timeout,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,covdefaults,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,coverage,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,pytest-cov,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
filelock,furo,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
